id_x,numero,saldo,id_y,nome,cpf,Faixa_saldo,Faixa_num
47,59496,1058.08,47,Maria Clara Alves,734.158.260-07,Silver (<1200K),0
48,18765,652.78,48,Ana Luiza Barros,783.169.452-82,Silver (<1200K),0
49,74470,1971.58,49,Murilo Barbosa,168.247.053-90,Platine (1200K - 5K),1
50,70625,1993.6,50,Ravi Lucca Vasconcelos,645.107.823-90,Platine (1200K - 5K),1
51,69133,4728.79,51,Ana Cecília Almeida,140.973.685-75,Platine (1200K - 5K),1
52,31833,1711.21,52,Dr. Vitor Ribeiro,731.048.926-87,Platine (1200K - 5K),1
53,34874,1120.93,53,Arthur Miguel da Paz,719.284.065-30,Silver (<1200K),0
54,12126,972.31,54,Noah Câmara,897.235.610-77,Silver (<1200K),0
55,6504,62.27,55,Dra. Melina Duarte,846.057.392-38,Silver (<1200K),0
56,15794,489.32,56,Mateus Dias,925.403.761-34,Silver (<1200K),0
57,20921,2224.13,57,Sra. Jade Silveira,075.238.496-10,Platine (1200K - 5K),1
58,64507,755.71,58,Maria Clara da Rocha,057.386.219-21,Silver (<1200K),0
59,26313,4171.47,59,Vitor Gabriel Albuquerque,654.189.320-98,Platine (1200K - 5K),1
60,40504,4309.63,60,Clarice Pacheco,108.763.452-08,Platine (1200K - 5K),1
61,96377,4087.41,61,Sophie Camargo,658.724.130-17,Platine (1200K - 5K),1
62,36232,4618.75,62,Melina Silveira,375.260.849-83,Platine (1200K - 5K),1
63,93245,1725.44,63,Maria Luiza Costa,857.964.201-94,Platine (1200K - 5K),1
64,1790,4586.16,64,Laís Castro,029.683.174-31,Platine (1200K - 5K),1
65,52642,2245.66,65,Bernardo Campos,702.185.694-67,Platine (1200K - 5K),1
66,71717,3468.39,66,Antônio Fonseca,087.524.693-10,Platine (1200K - 5K),1
67,85523,399.82,67,Mathias Pimenta,503.642.918-42,Silver (<1200K),0
68,83196,1507.54,68,Dra. Agatha Sampaio,023.174.968-69,Platine (1200K - 5K),1
69,97200,1511.81,69,Maya das Neves,829.107.654-58,Platine (1200K - 5K),1
70,51234,2624.02,70,Alexia Montenegro,532.497.608-38,Platine (1200K - 5K),1
71,22315,3644.45,71,Sofia Costa,539.204.687-83,Platine (1200K - 5K),1
72,86087,4037.93,72,Pedro Henrique Cavalcante,294.517.860-58,Platine (1200K - 5K),1
73,47942,709.25,73,Luiz Otávio Almeida,806.395.471-84,Silver (<1200K),0
74,92724,693.16,74,Ana Luiza Duarte,658.730.219-02,Silver (<1200K),0
75,4724,1600.02,75,Oliver Sá,869.543.012-05,Platine (1200K - 5K),1
76,48177,4033.15,76,Manuella Cassiano,930.245.618-89,Platine (1200K - 5K),1
77,58171,3800.31,77,Pedro Miguel Novaes,071.458.396-01,Platine (1200K - 5K),1
78,12974,1905.59,78,Fernanda Moraes,047.652.198-01,Platine (1200K - 5K),1
79,29497,2783.96,79,Yago Ribeiro,392.058.147-41,Platine (1200K - 5K),1
80,47196,1935.71,80,Rael Sá,871.046.293-78,Platine (1200K - 5K),1
81,21069,705.9,81,Marcelo Monteiro,735.420.918-04,Silver (<1200K),0
82,68723,3183.47,82,Helena Alves,309.654.172-80,Platine (1200K - 5K),1
83,19615,1136.72,83,Zoe Ramos,082.735.946-29,Silver (<1200K),0
84,83585,2674.05,84,Eduardo Lopes,890.145.327-41,Platine (1200K - 5K),1
85,92513,3755.66,85,Asafe Barbosa,321.857.460-90,Platine (1200K - 5K),1
86,62739,251.44,86,Diogo Fonseca,095.724.163-16,Silver (<1200K),0
87,48221,2280.31,87,Sr. Breno Viana,856.417.293-37,Platine (1200K - 5K),1
88,52712,4875.91,88,José Abreu,702.584.196-01,Platine (1200K - 5K),1
89,80649,1269.85,89,Sophie Novais,239.851.076-02,Platine (1200K - 5K),1
90,43107,1419.41,90,Stella Cunha,491.653.270-80,Platine (1200K - 5K),1
91,27163,2277.85,91,Ana Laura Novaes,318.926.450-33,Platine (1200K - 5K),1
92,32906,1314.24,92,Arthur Pinto,281.504.793-41,Platine (1200K - 5K),1
93,34640,346.05,93,Ísis Jesus,736.215.940-43,Silver (<1200K),0
94,64150,3567.77,94,Valentina Cassiano,927.140.358-41,Platine (1200K - 5K),1
95,26076,2273.92,95,Marcela Mendes,869.275.034-47,Platine (1200K - 5K),1
96,75557,3442.94,96,Lunna Martins,580.273.419-14,Platine (1200K - 5K),1
97,83875,2151.88,97,Igor Pires,087.213.596-95,Platine (1200K - 5K),1
98,57351,850.51,98,Joaquim Melo,823.476.509-47,Silver (<1200K),0
99,41119,630.57,99,Ana Julia Dias,834.715.209-88,Silver (<1200K),0
100,56624,1856.31,100,Caleb Pereira,217.904.683-96,Platine (1200K - 5K),1
101,6334,1947.22,101,Dr. Marcos Vinicius Alves,397.158.042-41,Platine (1200K - 5K),1
102,38409,2760.96,102,Rebeca Ribeiro,501.647.389-75,Platine (1200K - 5K),1
103,25275,3407.86,103,Matteo Silva,837.902.451-60,Platine (1200K - 5K),1
104,16323,2467.84,104,Elisa Abreu,327.458.960-83,Platine (1200K - 5K),1
105,14296,567.21,105,Anthony Gabriel Rios,639.457.821-55,Silver (<1200K),0
106,99684,2020.14,106,Vitória Farias,043.561.927-61,Platine (1200K - 5K),1
107,52526,4292.56,107,Gael Henrique Aragão,748.512.936-82,Platine (1200K - 5K),1
108,93583,266.49,108,André Vargas,409.527.861-76,Silver (<1200K),0
109,20245,2569.76,109,Eduardo Camargo,162.059.847-76,Platine (1200K - 5K),1
110,20431,3650.98,110,Sophie Rios,156.902.834-60,Platine (1200K - 5K),1
111,23939,3457.99,111,Anna Liz Vieira,703.894.256-56,Platine (1200K - 5K),1
112,14132,1538.8,112,Maria Sophia Aragão,516.290.387-68,Platine (1200K - 5K),1
113,68402,3455.87,113,Sra. Maria Vitória da Rosa,408.261.379-03,Platine (1200K - 5K),1
114,26070,679.84,114,Larissa Barros,984.765.230-92,Silver (<1200K),0
115,21638,4945.15,115,Luan Silveira,896.305.472-10,Platine (1200K - 5K),1
116,25673,785.2,116,Dr. Paulo Pastor,395.048.612-70,Silver (<1200K),0
117,93934,598.92,117,Srta. Raquel Aragão,830.745.619-39,Silver (<1200K),0
118,28047,3331.4,118,Théo Rodrigues,436.520.178-62,Platine (1200K - 5K),1
119,8907,274.64,119,Sr. Fernando Cavalcanti,293.471.865-46,Silver (<1200K),0
120,98653,4834.76,120,Luiz Gustavo Silva,812.693.457-37,Platine (1200K - 5K),1
121,52590,3742.24,121,Maria Sophia Costa,865.394.120-70,Platine (1200K - 5K),1
122,42337,1721.56,122,Ágatha Moura,086.512.947-94,Platine (1200K - 5K),1
123,64556,3249.29,123,Dra. Stella Pacheco,897.654.012-30,Platine (1200K - 5K),1
124,6640,337.78,124,Luigi Novais,850.693.217-30,Silver (<1200K),0
125,69669,4678.05,125,João Miguel Rodrigues,654.013.289-15,Platine (1200K - 5K),1
126,27126,1467.71,126,Sr. Breno Freitas,279.310.658-59,Platine (1200K - 5K),1
127,52693,1057.11,127,Ana Lívia Monteiro,456.019.328-24,Silver (<1200K),0
128,65006,4067.85,128,Ana Lívia Dias,126.759.048-30,Platine (1200K - 5K),1
129,89589,2229.5,129,Arthur Miguel Siqueira,210.675.938-02,Platine (1200K - 5K),1
130,18505,3180.83,130,Maria Helena Porto,508.942.137-41,Platine (1200K - 5K),1
131,79975,1481.61,131,Lorena Macedo,549.013.267-16,Platine (1200K - 5K),1
132,81262,4980.97,132,Dom Pinto,752.864.091-30,Platine (1200K - 5K),1
133,86062,1263.64,133,Dra. Ana Clara Cardoso,754.026.389-00,Platine (1200K - 5K),1
134,46252,1323.17,134,Mariah Sousa,947.382.610-96,Platine (1200K - 5K),1
135,19443,4281.96,135,Juliana Silveira,097.356.812-77,Platine (1200K - 5K),1
136,60436,151.2,136,Maria Cecília da Mota,812.765.349-73,Silver (<1200K),0
137,8924,2699.83,137,Srta. Maria Guerra,048.351.762-35,Platine (1200K - 5K),1
138,56889,2673.16,138,Ana Júlia Moura,987.342.516-00,Platine (1200K - 5K),1
139,97357,569.87,139,Sofia Barbosa,384.297.605-47,Silver (<1200K),0
140,63679,2804.96,140,Léo Novais,043.267.158-71,Platine (1200K - 5K),1
141,51243,894.61,141,João Lucas Brito,230.674.185-90,Silver (<1200K),0
142,4268,2647.49,142,Joaquim Vasconcelos,194.650.287-11,Platine (1200K - 5K),1
143,65910,1067.13,143,Sra. Allana Freitas,683.549.217-19,Silver (<1200K),0
144,37173,4810.73,144,Jade da Rocha,629.814.073-50,Platine (1200K - 5K),1
145,12845,3285.54,145,Dra. Laís Borges,689.532.417-82,Platine (1200K - 5K),1
146,37543,876.72,146,Benjamim Cunha,708.963.421-31,Silver (<1200K),0
147,67510,3031.89,147,Lívia Fernandes,854.712.936-73,Platine (1200K - 5K),1
148,50353,1048.63,148,Isabel Pacheco,640.189.325-70,Silver (<1200K),0
149,38271,84.08,149,Alice Rocha,987.123.504-60,Silver (<1200K),0
150,33544,531.73,150,Isabella Machado,173.954.820-50,Silver (<1200K),0
151,58425,550.11,151,Kevin Garcia,917.035.862-12,Silver (<1200K),0
152,7229,1085.03,152,Dom Pinto,985.402.731-79,Silver (<1200K),0
153,29361,571.5,153,Sr. João Gabriel da Conceição,507.193.486-84,Silver (<1200K),0
154,49582,1803.64,154,Ana Clara Borges,563.894.172-09,Platine (1200K - 5K),1
155,38141,4300.1,155,Ana Luiza Aparecida,812.537.649-64,Platine (1200K - 5K),1
156,37500,854.73,156,Olívia Ramos,756.309.128-95,Silver (<1200K),0
157,91687,4891.25,157,Josué Moreira,605.742.813-71,Platine (1200K - 5K),1
158,98984,1092.48,158,Maria Helena Nunes,249.571.630-06,Silver (<1200K),0
159,98136,4485.56,159,Isabelly Moura,498.376.501-84,Platine (1200K - 5K),1
160,57436,2452.01,160,Maria Fernanda Araújo,201.795.846-85,Platine (1200K - 5K),1
161,46072,508.04,161,Maitê Aragão,206.384.591-33,Silver (<1200K),0
162,61303,3190.73,162,Isabela da Mata,619.372.584-91,Platine (1200K - 5K),1
163,2216,570.99,163,Dr. Guilherme Rios,340.589.126-42,Silver (<1200K),0
164,70410,3065.11,164,Ana Beatriz Rios,064.923.751-06,Platine (1200K - 5K),1
165,64328,4557.87,165,Mariana Casa Grande,907.482.531-14,Platine (1200K - 5K),1
166,41120,4852.38,166,Melissa Gonçalves,768.924.105-02,Platine (1200K - 5K),1
167,91360,246.07,167,Lucca da Mota,580.163.492-42,Silver (<1200K),0
168,60408,4779.73,168,Bernardo Andrade,435.197.680-20,Platine (1200K - 5K),1
169,47492,3890.57,169,Maya Pires,705.913.642-80,Platine (1200K - 5K),1
170,67284,503.5,170,Levi Moreira,267.013.954-06,Silver (<1200K),0
171,19927,1376.51,171,Camila Casa Grande,091.438.265-98,Platine (1200K - 5K),1
172,80284,2332.28,172,Juan Pastor,451.973.082-14,Platine (1200K - 5K),1
173,6873,86.23,173,Dra. Gabrielly Santos,438.519.706-75,Silver (<1200K),0
174,15709,1955.88,174,Dra. Elisa Campos,840.372.691-04,Platine (1200K - 5K),1
175,67024,3781.85,175,Arthur Gabriel da Mata,782.946.510-01,Platine (1200K - 5K),1
176,40379,427.27,176,Sarah da Paz,396.027.415-70,Silver (<1200K),0
177,2542,2874.05,177,Ana Lima,473.081.269-78,Platine (1200K - 5K),1
178,92602,812.4,178,Sr. Vitor Gabriel Pinto,106.475.398-10,Silver (<1200K),0
179,82425,257.18,179,Lorenzo Barros,819.753.640-66,Silver (<1200K),0
180,15753,288.04,180,Maria Vitória Ribeiro,693.157.842-19,Silver (<1200K),0
181,90197,4874.23,181,Sra. Olívia Azevedo,517.380.469-66,Platine (1200K - 5K),1
182,4224,4116.55,182,Daniela Ramos,901.624.587-11,Platine (1200K - 5K),1
183,2244,1138.54,183,Beatriz Rezende,418.507.923-05,Silver (<1200K),0
184,28095,87.84,184,Leonardo Pimenta,392.471.568-82,Silver (<1200K),0
185,93620,3450.7,185,Sr. Lucca Moreira,703.895.264-10,Platine (1200K - 5K),1
186,30904,3021.79,186,José Pedro Jesus,594.681.027-85,Platine (1200K - 5K),1
187,78238,3245.34,187,Laura Guerra,690.437.251-61,Platine (1200K - 5K),1
188,90027,4848.26,188,Hadassa Viana,203.894.716-31,Platine (1200K - 5K),1
189,78804,1675.07,189,Melina Cardoso,149.875.036-20,Platine (1200K - 5K),1
190,57968,4791.2,190,Benjamim Lima,468.023.519-51,Platine (1200K - 5K),1
191,87280,3564.75,191,Diogo Casa Grande,089.347.215-88,Platine (1200K - 5K),1
192,77102,1656.36,192,Laura Cassiano,540.319.682-05,Platine (1200K - 5K),1
193,73084,3039.82,193,Dra. Lorena Nunes,401.679.583-48,Platine (1200K - 5K),1
194,88845,3832.63,194,Anthony Gabriel Porto,329.576.481-64,Platine (1200K - 5K),1
195,86226,612.74,195,Heloisa Lopes,805.234.671-17,Silver (<1200K),0
196,41647,1104.71,196,Pedro Lucas Pereira,812.476.950-85,Silver (<1200K),0
197,94761,1095.0,197,Arthur Miguel Costela,932.784.516-19,Silver (<1200K),0
198,49642,3141.14,198,Luiz Henrique Cirino,753.429.106-25,Platine (1200K - 5K),1
199,7215,2019.43,199,Luan Teixeira,869.547.123-37,Platine (1200K - 5K),1
200,87984,1095.22,200,Srta. Maria Fernanda Santos,810.942.763-40,Silver (<1200K),0
201,55779,4400.72,201,Levi Ferreira,325.478.196-19,Platine (1200K - 5K),1
202,3434,2288.09,202,Luan Cavalcante,548.176.329-09,Platine (1200K - 5K),1
203,69726,4149.21,203,Ravi Lucca da Rosa,520.617.498-01,Platine (1200K - 5K),1
204,38663,433.08,204,Anthony Gabriel Machado,826.019.574-76,Silver (<1200K),0
205,44122,2822.34,205,Marcela Câmara,306.157.284-80,Platine (1200K - 5K),1
206,72168,4227.18,206,Diogo Lopes,051.793.684-48,Platine (1200K - 5K),1
207,67822,1451.59,207,Francisco Aragão,780.356.924-29,Platine (1200K - 5K),1
208,68818,3279.71,208,Sr. Kevin Abreu,921.806.345-60,Platine (1200K - 5K),1
209,33922,1584.5,209,Dra. Alice Teixeira,876.031.259-95,Platine (1200K - 5K),1
210,27827,276.4,210,Dr. Emanuel Moura,230.965.147-80,Silver (<1200K),0
211,15231,2821.13,211,Sra. Aurora Alves,054.197.683-48,Platine (1200K - 5K),1
212,44852,402.37,212,Luiz Miguel Cardoso,341.257.690-52,Silver (<1200K),0
213,5593,323.49,213,André Guerra,476.582.930-83,Silver (<1200K),0
214,91771,1385.46,214,Emilly Fernandes,826.459.703-38,Platine (1200K - 5K),1
215,71329,4600.92,215,Ravi Lucca Moraes,139.258.647-09,Platine (1200K - 5K),1
216,15540,3424.33,216,Eloá Santos,296.731.485-46,Platine (1200K - 5K),1
217,10378,995.17,217,Dra. Sophie da Paz,302.156.897-12,Silver (<1200K),0
218,8593,2656.1,218,Agatha Viana,947.251.038-88,Platine (1200K - 5K),1
219,47067,1450.16,219,Luiz Gustavo das Neves,670.394.281-13,Platine (1200K - 5K),1
220,89866,510.19,220,Clara Macedo,341.257.689-19,Silver (<1200K),0
221,97708,857.24,221,Lívia da Mata,406.739.521-34,Silver (<1200K),0
222,8402,494.93,222,Arthur Leão,610.954.873-10,Silver (<1200K),0
223,90776,3082.77,223,Enrico Rodrigues,185.704.396-01,Platine (1200K - 5K),1
224,41479,2630.88,224,Ana Julia Azevedo,072.849.165-67,Platine (1200K - 5K),1
225,96882,1979.61,225,Isaac Mendonça,614.208.597-49,Platine (1200K - 5K),1
226,55274,2806.85,226,Anthony Montenegro,071.645.289-85,Platine (1200K - 5K),1
227,37091,1815.99,227,Maria Helena Pimenta,923.845.617-82,Platine (1200K - 5K),1
228,21083,928.69,228,Isabel Araújo,679.582.413-64,Silver (<1200K),0
229,70703,3955.57,229,André Ferreira,069.853.247-38,Platine (1200K - 5K),1
230,8877,3631.1,230,Nina Vargas,065.213.984-15,Platine (1200K - 5K),1
231,80900,2424.72,231,João Guilherme Dias,217.390.684-40,Platine (1200K - 5K),1
232,76732,4290.39,232,Maria Clara Pacheco,518.790.246-67,Platine (1200K - 5K),1
233,32343,2357.42,233,Dra. Mariana Rios,243.097.516-52,Platine (1200K - 5K),1
234,54295,4689.68,234,Sr. Josué Novais,701.498.256-76,Platine (1200K - 5K),1
235,45615,4477.96,235,Augusto Silva,548.297.631-91,Platine (1200K - 5K),1
236,71404,3780.5,236,Maria Liz Santos,134.829.056-06,Platine (1200K - 5K),1
237,99332,2118.39,237,Caleb Rocha,729.036.184-96,Platine (1200K - 5K),1
238,71870,4124.01,238,Helena Cunha,791.824.650-02,Platine (1200K - 5K),1
239,54343,4529.19,239,Sr. Paulo Nascimento,394.802.571-14,Platine (1200K - 5K),1
240,70540,288.15,240,Anthony Gabriel Lopes,096.751.832-68,Silver (<1200K),0
241,84275,90.78,241,Agatha Albuquerque,390.158.674-10,Silver (<1200K),0
242,95704,893.29,242,Maria Clara Camargo,319.574.206-34,Silver (<1200K),0
243,61206,4103.3,243,Emanuella da Rocha,148.065.973-84,Platine (1200K - 5K),1
244,65667,3783.27,244,Jade da Mota,035.789.412-04,Platine (1200K - 5K),1
245,31303,1271.44,245,Benjamim Costa,086.391.457-84,Platine (1200K - 5K),1
246,48495,4103.34,246,Milena Sousa,712.935.460-70,Platine (1200K - 5K),1
247,22276,863.46,247,Maitê da Rosa,962.483.157-28,Silver (<1200K),0
248,6356,3055.18,248,Amanda Cirino,312.850.946-89,Platine (1200K - 5K),1
249,43171,4349.61,249,Allana Pimenta,592.461.370-43,Platine (1200K - 5K),1
250,29741,521.95,250,Ágatha Fogaça,059.362.174-34,Silver (<1200K),0
251,55861,4951.17,251,Maria Eduarda Moraes,960.745.823-00,Platine (1200K - 5K),1
252,83264,4735.17,252,Sabrina Sales,425.983.016-33,Platine (1200K - 5K),1
253,34694,4398.15,253,Anthony Vargas,857.120.643-08,Platine (1200K - 5K),1
254,60963,3686.43,254,Camila Azevedo,321.987.560-21,Platine (1200K - 5K),1
255,24019,76.68,255,Gabriela Azevedo,602.415.379-16,Silver (<1200K),0
256,44762,2291.62,256,Marcelo Moura,074.312.965-25,Platine (1200K - 5K),1
257,96146,2765.79,257,Heloísa Pinto,786.294.531-09,Platine (1200K - 5K),1
258,57168,1665.28,258,Liam Aparecida,382.157.460-71,Platine (1200K - 5K),1
259,70700,4536.53,259,Vinícius Sampaio,349.716.258-28,Platine (1200K - 5K),1
260,76216,316.76,260,Srta. Maria Luísa Moreira,280.913.674-22,Silver (<1200K),0
261,50051,347.53,261,João Lucas Casa Grande,806.521.437-17,Silver (<1200K),0
262,83146,2428.8,262,Ana Lívia Pires,154.670.283-08,Platine (1200K - 5K),1
263,14131,38.27,263,Dr. Lorenzo Abreu,256.794.013-80,Silver (<1200K),0
264,48020,2875.07,264,Théo Fernandes,739.682.104-50,Platine (1200K - 5K),1
265,21974,3374.35,265,Mateus Farias,324.189.567-09,Platine (1200K - 5K),1
266,11440,2844.55,266,Ana Carolina Souza,528.634.107-17,Platine (1200K - 5K),1
267,78906,1268.44,267,Eloah Carvalho,032.891.574-23,Platine (1200K - 5K),1
268,69349,1267.55,268,Sarah da Cunha,068.945.317-57,Platine (1200K - 5K),1
269,48111,708.34,269,Isadora Rodrigues,370.854.296-74,Silver (<1200K),0
270,50719,1960.24,270,Dr. Noah Pacheco,431.250.796-16,Platine (1200K - 5K),1
271,69044,4405.81,271,Heitor Freitas,052.193.647-07,Platine (1200K - 5K),1
272,17601,3666.91,272,Lorena da Paz,682.045.137-71,Platine (1200K - 5K),1
273,39649,2621.16,273,João Miguel da Mota,785.049.312-50,Platine (1200K - 5K),1
274,23940,3176.35,274,Raquel Sá,094.763.518-10,Platine (1200K - 5K),1
275,38511,2903.73,275,Eduardo Sousa,978.614.520-85,Platine (1200K - 5K),1
276,8961,4140.42,276,Joana Borges,635.842.970-10,Platine (1200K - 5K),1
277,12263,944.03,277,Ayla Rodrigues,521.386.479-19,Silver (<1200K),0
278,24903,2957.82,278,Lorena da Rosa,837.051.624-62,Platine (1200K - 5K),1
279,68351,4381.13,279,Maria Helena das Neves,920.138.674-50,Platine (1200K - 5K),1
280,44733,1047.19,280,Vitor Azevedo,716.945.028-30,Silver (<1200K),0
281,17864,3388.25,281,Sr. Lucas Gabriel Cardoso,820.531.679-12,Platine (1200K - 5K),1
282,69143,3905.5,282,Matteo da Mata,530.819.726-12,Platine (1200K - 5K),1
283,28195,3365.24,283,Srta. Maria Cecília Casa Grande,628.403.175-08,Platine (1200K - 5K),1
284,60576,2875.06,284,Dr. Renan Ribeiro,351.708.649-57,Platine (1200K - 5K),1
285,26593,3662.46,285,Zoe Teixeira,146.987.205-67,Platine (1200K - 5K),1
286,91946,2931.62,286,Sra. Heloísa Farias,091.647.583-20,Platine (1200K - 5K),1
287,31263,1702.72,287,Valentina Melo,530.168.974-66,Platine (1200K - 5K),1
288,34961,3169.04,289,Bianca Barbosa,571.496.238-91,Platine (1200K - 5K),1
289,44936,4255.57,290,Helena da Rocha,956.230.481-70,Platine (1200K - 5K),1
290,4849,1374.07,291,Bárbara Silva,293.801.547-04,Platine (1200K - 5K),1
291,13283,1064.83,292,Luiz Otávio da Mota,451.903.276-80,Silver (<1200K),0
292,28617,560.04,293,Maria Luísa Barros,569.304.721-07,Silver (<1200K),0
293,59072,4155.29,294,André Gonçalves,154.973.602-70,Platine (1200K - 5K),1
294,77202,3741.63,295,Daniel Campos,537.986.012-59,Platine (1200K - 5K),1
295,28217,4962.86,296,Dra. Allana Costela,925.708.643-74,Platine (1200K - 5K),1
296,47904,3771.11,297,Leandro Moraes,709.361.852-95,Platine (1200K - 5K),1
297,7574,2059.86,298,Kamilly Cassiano,059.327.846-10,Platine (1200K - 5K),1
298,79659,2743.21,299,Rafael Cunha,584.937.261-09,Platine (1200K - 5K),1
299,76748,2527.42,300,Ana Lívia Machado,571.086.492-76,Platine (1200K - 5K),1
300,41866,4676.7,301,Marina Moraes,843.792.650-56,Platine (1200K - 5K),1
301,16960,2216.06,302,Alice Novaes,573.461.290-16,Platine (1200K - 5K),1
302,21052,3605.45,303,Maria Júlia Teixeira,725.089.461-76,Platine (1200K - 5K),1
303,51202,2088.41,304,Pietro Cardoso,160.845.732-07,Platine (1200K - 5K),1
304,38743,313.24,305,Ayla Lopes,681.793.024-31,Silver (<1200K),0
305,6290,858.79,306,Melina Rocha,459.631.870-01,Silver (<1200K),0
306,90953,3584.65,307,Maria Eduarda Carvalho,951.630.472-99,Platine (1200K - 5K),1
307,2245,85.1,308,Amanda Duarte,268.314.950-60,Silver (<1200K),0
308,11962,295.86,309,Melina Vargas,031.629.584-15,Silver (<1200K),0
309,25294,699.83,310,Gabrielly Nogueira,974.250.386-92,Silver (<1200K),0
310,52330,1769.78,311,Dra. Yasmin da Rosa,402.513.768-26,Platine (1200K - 5K),1
311,48432,871.82,312,Emanuel Andrade,301.875.629-03,Silver (<1200K),0
312,50307,4828.2,313,Nicolas Pastor,764.019.382-69,Platine (1200K - 5K),1
313,28803,1858.24,314,Ravy Peixoto,592.834.061-33,Platine (1200K - 5K),1
314,64251,4317.58,315,Kamilly Duarte,846.309.527-56,Platine (1200K - 5K),1
315,71799,380.49,316,Maria Eduarda Aparecida,935.067.241-34,Silver (<1200K),0
316,46908,2679.72,317,Ana Júlia Monteiro,309.416.582-60,Platine (1200K - 5K),1
317,53635,2615.26,318,Carolina da Cunha,069.853.417-48,Platine (1200K - 5K),1
318,37977,2058.72,319,Ana Luiza Brito,834.209.175-97,Platine (1200K - 5K),1
319,89317,3418.9,320,Rafaela Câmara,512.049.378-50,Platine (1200K - 5K),1
320,28679,1284.52,321,Erick Andrade,169.072.385-86,Platine (1200K - 5K),1
